36465789,클라이밍짐리드 유성점,대전광역시 유성구 봉명동 548-12 이화빌딩 2층
36470379,수원클라이밍센터,경기도 수원시 팔달구 우만동 483-5
36480832,골든클라이밍짐,경상북도 포항시 남구 대잠동 997-9 3층
36543694,고릴라클라이밍,충청남도 서산시 석림동 773-1
36624675,안산락클라이밍,경기도 안산시 상록구 본오동 874-12 신영빌딩 4층
36631046,트윈클라이밍짐,경기도 평택시 합정동 746-9 3층 트윈클라이밍짐
36669283,CC클라이밍센터,경상북도 구미시 도량동 228-2
36721215,점프클라이밍짐,대구광역시 달서구 본동 225-8 그린코아상가 2층
36760078,일산SK클라이밍,경기도 고양시 일산동구 마두동 903-2 지하1층
36782643,인천베스트클라이밍센타,인천광역시 부평구 갈산동 170-8
36793238,락트리 클라이밍 센터,충청남도 아산시 배방읍 장재리 1792 5층
36800715,강서클라이밍센터,서울특별시 강서구 내발산동 646 동서빌딩 4층
36864834,퍼스트 클라이밍 짐,"경상남도 김해시 삼계동 1509-11 301, 401호"
36900673,서산클라이밍,충청남도 서산시 동문동 221-2 광락빌딩 2층 서산클라이밍
36913065,인천계양클라이밍센터,인천광역시 계양구 계산동 18-17
36925121,클라임맥스 클라이밍,충청남도 천안시 동남구 신방동 768-35 다동 1층 1001호 클라임맥스
36939626,SUMMIT클라이밍센터,서울특별시 마포구 노고산동 4-22 1층
36943391,더클라이밍짐,서울특별시 서초구 서초동 1559-3 아주빌딩 지하1층
36952679,M클라이밍 남대구점,대구광역시 달서구 월성동 1798-5
37017836,디스커버리클라이밍 클라임스퀘어 ICN,인천광역시 서구 마전동 999-4
37033388,9클라이밍짐,울산광역시 중구 우정동 252-7 3층
37093244,킹콩클라이밍,경기도 수원시 팔달구 인계동 942 3층 킹콩클라이밍
37126660,강릉클라이밍,강원특별자치도 강릉시 교동 1889-5
37202664,애스트로맨클라이밍센터,경기도 파주시 동패동 1758 1002호 애스트로맨 클라이밍센터
37236351,SO클라이밍짐,부산광역시 북구 화명동 2271-2 새론타워 2층 201호
37243971,클럽스파이더클라이밍,부산광역시 중구 영주동 565-2
37296734,월드클라이밍,경기도 부천시 원미구 상동 541-1
